player,tm,g,gs,fg_percent,x3p_percent,x2p_percent,ft_percent,pts_per_game
Keita Bates-Diop,SAS,20,6,0.513,0.28,0.574,0.821,7.6
Keldon Johnson,SAS,20,20,0.393,0.36,0.423,0.742,20.3
Kelly Olynyk,UTA,24,24,0.558,0.476,0.617,0.797,13.1
Kelly Oubre Jr.,CHO,21,21,0.436,0.31,0.532,0.718,19.7
Kendall Brown,IND,2,0,1.0,0.0,1.0,0.0,1.0
Kendrick Nunn,LAL,18,2,0.364,0.291,0.436,0.889,5.8
Kennedy Chandler,MEM,8,0,0.296,0.143,0.35,0.429,2.5
Kenneth Lofton Jr.,MEM,4,0,0.417,0.0,0.455,0.333,2.8
Kenrich Williams,OKC,20,3,0.505,0.343,0.586,0.417,6.2
Kentavious Caldwell-Pope,DEN,20,20,0.47,0.495,0.442,0.767,11.3
Kenyon Martin Jr.,HOU,21,5,0.543,0.333,0.673,0.646,11.0
Keon Ellis,SAC,1,0,0.0,0.0,0.0,0.0,0.0
Keon Johnson,POR,6,0,0.356,0.348,0.364,0.333,7.0
Kessler Edwards,BRK,11,0,0.25,0.286,0.2,0.5,0.8
Kevin Durant,BRK,23,23,0.553,0.355,0.615,0.923,30.4
Kevin Huerter,SAC,20,20,0.489,0.451,0.553,0.681,15.9
Kevin Knox,DET,16,0,0.435,0.333,0.625,0.667,5.1
Kevin Love,CLE,16,1,0.418,0.404,0.455,0.861,10.6
Kevin Porter Jr.,HOU,20,20,0.417,0.362,0.449,0.735,19.0
Kevon Harris,ORL,15,0,0.388,0.333,0.412,0.826,4.1
Kevon Looney,GSW,22,22,0.659,0.0,0.659,0.63,6.2
Khem Birch,TOR,11,0,0.588,1.0,0.563,1.0,2.1
Killian Hayes,DET,23,10,0.346,0.306,0.364,0.842,7.3
Klay Thompson,GSW,18,18,0.401,0.392,0.416,0.808,17.0
Kristaps Porziņģis,WAS,21,21,0.475,0.382,0.533,0.795,21.6
Kyle Anderson,MIN,17,3,0.488,0.429,0.508,0.808,6.5
Kyle Kuzma,WAS,21,21,0.459,0.31,0.574,0.731,20.6
Kyle Lowry,MIA,22,22,0.391,0.351,0.453,0.859,14.6
Kyrie Irving,BRK,15,15,0.476,0.325,0.591,0.914,24.7
KZ Okpala,SAC,12,3,0.5,0.429,0.571,1.0,1.8
Lamar Stevens,CLE,9,6,0.478,0.417,0.5,0.842,7.2
LaMelo Ball,CHO,3,3,0.415,0.313,0.571,0.8,19.3
Landry Shamet,PHO,12,0,0.422,0.4,0.474,0.846,6.9
Larry Nance Jr.,NOP,19,0,0.667,0.467,0.696,0.762,9.4
Lauri Markkanen,UTA,24,24,0.531,0.395,0.628,0.822,22.2
Leandro Bolmaro,UTA,4,0,0.286,0.0,0.4,0.0,1.0
LeBron James,LAL,14,14,0.468,0.324,0.547,0.721,25.8
Lindy Waters III,OKC,5,0,0.348,0.318,1.0,0.0,4.6
Lonnie Walker IV,LAL,17,17,0.477,0.363,0.557,0.844,16.6
Luguentz Dort,OKC,22,22,0.41,0.314,0.486,0.778,14.1
Luka Dončić,DAL,19,19,0.505,0.315,0.601,0.723,33.5
Luka Garza,MIN,1,0,0.0,0.0,0.0,0.0,0.0
Luke Kennard,LAC,14,7,0.513,0.479,0.563,1.0,7.7
Luke Kornet,BOS,17,0,0.681,0.4,0.714,0.933,4.7
Malachi Flynn,TOR,14,1,0.412,0.457,0.364,0.909,5.9
Malaki Branham,SAS,9,2,0.34,0.25,0.474,0.75,5.0
Malcolm Brogdon,BOS,18,0,0.5,0.493,0.505,0.863,14.4
Malcolm Hill,CHI,3,0,0.0,0.0,0.0,0.0,0.0
Malik Beasley,UTA,24,2,0.419,0.394,0.476,0.9,13.6
Malik Monk,SAC,20,0,0.488,0.36,0.625,0.891,14.6
Mamadi Diakite,CLE,8,1,0.588,0.444,0.75,0.0,3.0
Marcus Morris,LAC,21,21,0.458,0.375,0.525,0.742,14.0
Marcus Smart,BOS,20,20,0.44,0.36,0.536,0.865,11.5
MarJon Beauchamp,MIL,15,6,0.385,0.293,0.486,0.7,5.3
Mark Williams,CHO,3,0,0.571,0.0,0.571,1.0,3.7
Markelle Fultz,ORL,1,1,0.375,0.0,0.429,1.0,8.0
Markieff Morris,BRK,13,0,0.395,0.462,0.25,0.0,3.2
Marko Simonovic,CHI,1,0,0.0,0.0,0.0,0.0,0.0
Marvin Bagley III,DET,10,9,0.565,0.375,0.605,0.857,12.8
Mason Plumlee,CHO,21,21,0.574,0.0,0.574,0.561,8.9
Matisse Thybulle,PHI,18,3,0.324,0.227,0.467,0.333,1.7
Matt Ryan,LAL,12,0,0.306,0.371,0.143,0.8,3.9
Matthew Dellavedova,SAC,8,0,0.286,0.4,0.222,0.0,1.3
Max Christie,LAL,10,0,0.391,0.438,0.286,0.75,2.8
Max Strus,MIA,20,13,0.432,0.364,0.57,0.9,15.7
Maxi Kleber,DAL,16,0,0.446,0.3,0.68,0.786,5.1
McKinley Wright IV,DAL,1,0,0.25,0.0,0.333,0.0,2.0
Mfiondu Kabengele,BOS,1,0,0.5,0.0,1.0,0.0,2.0
Micah Potter,UTA,2,0,1.0,0.0,1.0,0.0,2.0
Michael Foster Jr.,PHI,1,0,0.0,0.0,0.0,0.0,0.0
